form	lemma	POS	morph
དཀོན་ཅོག་	དཀོན་ཅོག་	OTHER
འགྲེལ་	འགྲེལ་	NOUN
། །		PUNCT
མཛད་པ་པོ་	མཛད་པ་པོ་	VERB
།		PUNCT
རོང་	རོང་	PROPN
ཟོམ་	ཟོམ་	NO_POS
ཆོ་	ཆོ་	NOUN
བཟང་	བཟང་	VERB
"།
༄༅། །"		PUNCT
རྒྱུད་	རྒྱུད་	NOUN
རྒྱལ་	རྒྱལ་	VERB
གསང་བ་	གསང་བ་	VERB
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
རོང་	རོང་	PROPN
ཟོམ་	ཟོམ་	NO_POS
ཆོ་	ཆོ་	NOUN
བཟང་	བཟང་	VERB
གིས་	གིས་	PART
མཛད་པ་	མཛད་པ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
དཀོན་ཅོག་	དཀོན་ཅོག་	OTHER
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
རང་བཞིན་	རང་བཞིན་	NOUN
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་	སེམས་	NOUN
། །		PUNCT
དེ་	སྟེ་	PART
སྩོལ་	སྩོལ་	VERB
བླ་མ་	བླ་མ་	NOUN
དེ་	སྟེ་	PART
རྒྱ་	རྒྱ་	NOUN
ལྷག་པ་	ལྷག་པ་	VERB
འི་	གི་	PART
ལྷ་	ལྷ་	NOUN
། །		PUNCT
དེ་	སྟེ་	PART
དབང་	དབང་	NOUN
སྤྲུལ་པ་	སྤྲུལ་པ་	VERB
འི་	གི་	PART
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
བཅས་པ་	བཅས་པ་	VERB
ལ་	ལ་	PART
། །		PUNCT
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
དེ་	སྟེ་	PART
གསུང་	གསུང་	VERB
ལམ་	གམ་	PART
དང་	དང་	NO_POS
སྒྲུབ་	སྒྲུབ་	VERB
བཅའ་	བཅའ་	VERB
ལ་	ལ་	ADP
འོ་	གོ་	PART
། །		PUNCT
སེམས་	སེམས་	NOUN
ཀྱི་	གི་	PART
རང་བཞིན་	རང་བཞིན་	NOUN
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
། །		PUNCT
རྒྱལ་	རྒྱལ་	VERB
དང་	དང་	NO_POS
གྲོལ་	གྲོལ་	VERB
རྣམས་	རྣམས་	DET
དབྱེ་	དབྱེ་	VERB
ར་	ལ་	PART
མེད་	མེད་	VERB
ཚུལ་	ཚུལ་	NOUN
གཅིག་	གཅིག་	NUM
ཀྱང་	ཀྱང་	PART
། །		PUNCT
འཁྲུལ་སྣང་	འཁྲུལ་སྣང་	OTHER
དབང་	དབང་	NOUN
ལ་དོན་	ལ་དོན་	OTHER
ལྟ་	ལྟ་	OTHER
མ་	མ་	PART
གྲུབ་	གྲུབ་	VERB
སྟེ་	སྟེ་	PART
། །		PUNCT
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
སྐྱབས་	སྐྱབས་	NOUN
ལྡན་	ལྡན་	VERB
རྣམས་	རྣམས་	DET
ཀྱིས་	གིས་	PART
གཟུང་	གཟུང་	VERB
དུ་	ལ་	PART
གསོལ་	གསོལ་	VERB
། །		PUNCT
དུས་	དུས་	NOUN
ཀྱི་	གི་	PART
མནར་བ་	མནར་བ་	VERB
འི་	གི་	PART
གང་ཟག་	གང་ཟག་	NOUN
བདག་	བདག་	PRON
ལྟ་བུ་	ལྟ་བུ་	NOUN
ས་	གིས་	PART
། །		PUNCT
དཀའ་	དཀའ་	VERB
དོན་	དོན་	NOUN
ཟབ་མོ་	ཟབ་མོ་	ADJ
གཞིག་པ་	གཞིག་པ་	VERB
ར་	ལ་	PART
མི་	མི་	PART
འོ་	འོ་	VERB
ཀྱང་	ཀྱང་	PART
། །		PUNCT
བདག་	བདག་	PRON
རྗེས་	རྗེས་	NOUN
འབྲང་བ་	འབྲང་བ་	VERB
འི་	གི་	PART
དོན་	དོན་	NOUN
ཕྱི་	ཕྱི་	OTHER
